player,champion,mastery,total_games_played,win_rate,kda_ratio,average_gold_per_minute,average_cs_per_minute
"Player(name='UR%C3%98BOROS', tag='EUNE')",sona,1251285,86,0.47700000000000004,3.1429,308.1,1.0
"Player(name='ahojpepo', tag='6464')",aatrox,157441,12,0.667,2.1528,493.1,6.9
"Player(name='c6g1w65rcsz', tag='EUNE')",lillia,51371,4,0.25,1.6,366.5,5.4
"Player(name='den%20jero%20onoma', tag='EUNE')",katarina,880390,50,0.54,2.8696,445.0,5.4
"Player(name='Chrupnik2', tag='EUNE')",twitch,11321,1,0.0,3.4286,522.6,6.1
"Player(name='Oloter', tag='2115')",zilean,13827,6,0.667,2.8889,328.2,2.1
"Player(name='Jesus%20Christ', tag='Jerus')",malphite,886,1,1.0,0.4,267.8,4.6
"Player(name='PA%C5%A4O', tag='EUNE')",belveth,3492,4,1.0,2.96,470.8,7.2
"Player(name='Petfi', tag='EUNE')",yasuo,560488,7,0.429,1.46,453.8,6.6
"Player(name='Nelperril', tag='EUNE')",zeri,5597,7,0.857,5.6047,739.3,9.5
"Player(name='jon', tag='7312')",yuumi,50300,8,1.0,9.7692,390.3,0.3
"Player(name='%CE%BBLast%20Breath%CE%BB', tag='EUNE')",naafiri,43379,8,0.875,3.0,414.7,6.2
"Player(name='g%C3%B3vvno%20w%20kiblu', tag='EUNE')",trundle,32553,4,0.25,2.9841,522.3,7.6
"Player(name='Abok12', tag='EUNE')",vladimir,84122,2,0.5,3.3333,396.5,5.5
"Player(name='grzecznyananas', tag='4200')",ezreal,5497,1,0.0,2.0,454.9,5.4
"Player(name='Panzerfahrer%20', tag='EUNE')",bard,77736,2,0.5,4.25,358.0,1.0
"Player(name='Nem%C3%89nAkartam', tag='EUNE')",malphite,59509,2,1.0,4.6,374.9,6.2
"Player(name='straf324', tag='EUNE')",xinzhao,10835,9,0.889,4.5676,451.6,7.7
"Player(name='Ezirek', tag='1337')",akali,35594,4,0.75,2.0261,447.5,5.0
"Player(name='PA%C5%A4O', tag='EUNE')",aphelios,19560,1,1.0,3.5,449.4,6.1
"Player(name='INF%20BRI4NS', tag='EUNE')",senna,11115,3,1.0,3.127,398.5,1.8
"Player(name='SlotsAddict', tag='EUNE')",lillia,27540,2,0.0,1.2,324.4,6.2
"Player(name='ECPU%20Skhaty', tag='ZTR')",jax,31363,12,0.75,2.4328,439.9,6.4
"Player(name='Kapisx', tag='TYPER')",leesin,15714,4,0.25,2.1222,437.3,5.9
"Player(name='Toor', tag='1273')",samira,20952,1,0.0,1.7,503.3,7.5
"Player(name='padnav%20vo%20dupka', tag='AN%C3%8B')",pantheon,48458,38,0.579,1.5464,340.8,1.6
"Player(name='King%20Patience', tag='0000')",malphite,51359,4,0.75,2.7925,370.4,4.8
"Player(name='maraqyica', tag='666')",kayn,124204,30,0.5670000000000001,2.2031,414.5,6.4
"Player(name='111296', tag='EUNE')",malzahar,5061,7,0.5710000000000001,2.0986,462.2,8.0
"Player(name='PA%C5%A4O', tag='EUNE')",nilah,11591,3,0.667,3.7209,506.9,7.6
"Player(name='INF%20BRI4NS', tag='EUNE')",senna,11115,3,1.0,3.127,398.5,1.8
"Player(name='DenyK1Ng', tag='EUNE')",aatrox,37644,8,0.25,1.2051,385.2,6.7
"Player(name='Dont%20Cry%20BaBy', tag='EUNE')",rengar,453597,53,0.604,2.1364,487.2,6.1
"Player(name='kocham%20yokera%2043', tag='EUNE')",sylas,7398,7,0.429,1.7093,413.5,4.3
"Player(name='dlugosz', tag='EUNE')",jhin,47227,8,0.375,2.2727,428.6,6.6
"Player(name='Pieczareto', tag='EUNE')",pyke,938621,144,0.514,2.5775,367.1,0.8
"Player(name='17082001', tag='EUNE')",fiora,152956,5,1.0,3.625,501.9,7.8
"Player(name='Griphyn', tag='EUNE')",xinzhao,1188,3,0.33299999999999996,2.75,374.2,4.9
"Player(name='Kirishima%20T%C3%B6uka', tag='EUNE')",chogath,29768,2,0.5,1.7,413.9,8.1
"Player(name='PA%C5%A4O', tag='EUNE')",nilah,11591,3,0.667,3.7209,506.9,7.6
"Player(name='INF%20BRI4NS', tag='EUNE')",renata,5174,1,1.0,3.0,354.9,1.7
"Player(name='SSJ%20KAKAROT', tag='EUNE')",renekton,23736,1,0.0,1.0,310.1,5.7
"Player(name='Ninjalrs%20v2', tag='EUNE')",belveth,8263,1,0.0,1.1111,386.0,5.0
"Player(name='BronzakiS', tag='EUNE')",malzahar,52410,1,0.0,1.1667,321.2,6.6
"Player(name='Comway', tag='EUNE')",missfortune,195621,52,0.5579999999999999,2.625,459.1,7.2
"Player(name='Pivkule', tag='EUNE')",leona,19152,5,0.4,4.1429,301.0,0.8
"Player(name='The%20Barber', tag='3120')",gwen,398582,42,0.619,1.803,435.6,6.4
"Player(name='PA%C5%A4O', tag='EUNE')",belveth,3492,4,1.0,2.96,470.8,7.2
"Player(name='silver2wolv', tag='EUNE')",veigar,1534344,25,0.56,2.0513,369.1,3.9
